state,jurisdiction_name,geography_type,population,official_domain,planning_pages_found,directory_pages_found,staff_links_found,profile_links_followed,mailto_links_found,emails_found,candidate_titles_found,pages_fetched,search_queries_run,found_contact,final_rejection_reason,elapsed_seconds,cache_hits,cache_misses,profile_pages_followed,early_stop,max_page_limit_hit,timeout_count,fetch_error_count,resolver_method,search_results_seen,search_results_rejected,planning_fallback_used,planning_fallback_url,planning_fallback_attempted,planning_fallback_success,fetch_failures_by_url
MI,Troy,city,87307,www.troymi.gov,5,0,97,0,0,2,3,10,0,no,only_generic_email_found,25.34,10,12,0,no,yes,0,0,cache,0,0,no,,no,no,https://www.troymi.gov/planning-and-zoning|status=404|err=http_error|reason=http_404; https://www.troymi.gov/community-development|status=404|err=http_error|reason=http_404; https://www.troymi.gov/development-services|status=404|err=http_error|reason=http_404; https://www.troymi.gov/Departments/Planning/NavigationTroyOrdinance.pdf?t=202111261105430|status=200|err=http_error|reason=not_html:application/pdf; https://www.troymi.gov/departments/planning/NEWZoning Map 24X36 color8_21_2025_ArcPro.pdf?t=202512031155200|status=404|err=http_error|reason=http_404; https://www.troymi.gov/Departments/Planning/Master Plan/CityOfTroy_MasterPlan2040_FINAL WITH RESOLUTION.pdf|status=200|err=http_error|reason=not_html:application/pdf; https://www.troymi.gov/staff|status=404|err=http_error|reason=http_404; https://www.troymi.gov/directory|status=404|err=http_error|reason=http_404; ...+4 more
FL,Deerfield Beach,city,86742,,0,0,0,0,0,0,0,0,8,no,no_official_site_found,75.21,0,9,0,no,no,0,18,,40,40,no,,no,no,https://www.cityofdeerfieldbeach.org/|status=0|err=connection_error|reason=ConnectError; https://cityofdeerfieldbeach.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofdeerfieldbeach.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofdeerfieldbeach.gov/|status=0|err=connection_error|reason=ConnectError; https://www.deerfieldbeachcity.org/|status=0|err=connection_error|reason=ConnectError; https://deerfieldbeachcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.deerfieldbeachfl.gov/|status=0|err=connection_error|reason=ConnectError; https://deerfieldbeachfl.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; ...+2 more
CT,Danbury,city,86086,www.danbury-ct.gov,1,3,22,0,5,5,2,4,1,yes,,27.19,5,16,0,yes,no,0,20,search_official,5,3,no,,no,no,https://www.cityofdanbury.org/|status=0|err=connection_error|reason=ConnectError; https://cityofdanbury.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofdanbury.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofdanbury.gov/|status=0|err=connection_error|reason=ConnectError; https://www.danburycity.org/|status=0|err=connection_error|reason=ConnectError; https://danburycity.org/|status=0|err=connection_error|reason=ConnectError; https://www.danburyct.gov/|status=0|err=connection_error|reason=ConnectError; https://danburyct.gov/|status=0|err=connection_error|reason=ConnectError; ...+8 more
OR,Medford,city,85794,www.medfordoregon.gov,5,0,37,0,0,2,0,6,1,no,only_generic_email_found,60.42,7,22,0,no,no,2,18,search_official,5,2,no,,no,no,https://www.cityofmedford.org/|status=0|err=connection_error|reason=ConnectError; https://cityofmedford.org/|status=0|err=timeout|reason=timeout; https://www.cityofmedford.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofmedford.gov/|status=0|err=connection_error|reason=ConnectError; https://www.medfordcity.org/|status=0|err=connection_error|reason=ConnectError; https://medfordcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.medfordor.gov/|status=0|err=connection_error|reason=ConnectError; https://medfordor.gov/|status=0|err=connection_error|reason=ConnectError; ...+14 more
FL,Melbourne,city,85718,www.melbournefl.org,0,0,0,0,9,8,0,2,0,no,only_generic_email_found,19.92,3,16,0,no,no,0,10,guess,0,0,no,,no,no,https://www.cityofmelbourne.org/|status=0|err=connection_error|reason=ConnectError; https://cityofmelbourne.org/|status=0|err=robots_denied|reason=robots_txt_disallow; https://www.melbournecity.org/|status=0|err=connection_error|reason=ConnectError; https://melbournecity.org/|status=0|err=connection_error|reason=ConnectError; https://www.melbournefl.gov/|status=0|err=connection_error|reason=ConnectError; https://melbournefl.gov/|status=0|err=connection_error|reason=ConnectError; https://www.melbournefl.org/planning-and-zoning|status=404|err=http_error|reason=http_404; https://www.melbournefl.org/planning|status=404|err=http_error|reason=http_404; ...+9 more
WA,Auburn,city,85455,www.auburnwa.org,0,0,15,0,0,0,0,1,0,no,no_planning_contact_found,26.74,1,34,0,no,no,0,12,guess,0,0,no,,no,no,https://www.cityofauburn.org/|status=0|err=connection_error|reason=ConnectError; https://cityofauburn.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofauburn.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofauburn.gov/|status=0|err=connection_error|reason=ConnectError; https://www.auburncity.org/|status=0|err=connection_error|reason=ConnectError; https://auburncity.org/|status=0|err=connection_error|reason=ConnectError; https://www.auburnwa.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; https://auburnwa.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; ...+27 more
WA,Kennewick,city,84389,go2kennewick.org,0,0,0,0,0,0,0,0,6,no,no_planning_contact_found,24.96,0,10,0,no,no,0,20,planning_search_fallback,30,25,yes,https://go2kennewick.org/156/Community-Planning,yes,no,https://www.cityofkennewick.org/|status=0|err=connection_error|reason=ConnectError; https://cityofkennewick.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofkennewick.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofkennewick.gov/|status=0|err=connection_error|reason=ConnectError; https://www.kennewickcity.org/|status=0|err=connection_error|reason=ConnectError; https://kennewickcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.kennewickwa.gov/|status=0|err=connection_error|reason=ConnectError; https://kennewickwa.gov/|status=0|err=connection_error|reason=ConnectError; ...+25 more
MI,Westland,city,84155,cityofwestland.org,5,3,0,0,0,0,0,10,0,no,no_planning_contact_found,3.04,11,1,0,no,yes,0,2,guess,0,0,no,,no,no,https://www.cityofwestland.org/|status=0|err=connection_error|reason=ConnectError
MI,Farmington Hills,city,83316,www.farmingtonhillsmi.org,0,0,15,0,0,2,0,1,0,no,no_planning_contact_found,25.61,2,35,0,no,no,0,16,guess,0,0,no,,no,no,https://www.cityoffarmingtonhills.org/|status=0|err=connection_error|reason=ConnectError; https://cityoffarmingtonhills.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityoffarmingtonhills.gov/|status=0|err=connection_error|reason=ConnectError; https://cityoffarmingtonhills.gov/|status=0|err=connection_error|reason=ConnectError; https://www.farmingtonhillscity.org/|status=0|err=connection_error|reason=ConnectError; https://farmingtonhillscity.org/|status=0|err=connection_error|reason=ConnectError; https://www.farmingtonhillsmi.gov/|status=0|err=connection_error|reason=ConnectError; https://farmingtonhillsmi.gov/|status=0|err=connection_error|reason=ConnectError; ...+27 more
RI,Warwick,city,82871,www.warwickri.gov,0,0,0,0,0,0,0,0,3,no,no_planning_contact_found,16.89,0,8,0,no,no,0,16,planning_search_fallback,15,7,yes,https://www.warwickri.gov/planning-department,yes,no,https://www.cityofwarwick.org/|status=0|err=connection_error|reason=ConnectError; https://cityofwarwick.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofwarwick.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofwarwick.gov/|status=0|err=connection_error|reason=ConnectError; https://www.warwickcity.org/|status=0|err=connection_error|reason=ConnectError; https://warwickcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.warwickri.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; https://warwickri.gov/|status=0|err=robots_denied|reason=robots_txt_disallow; ...+21 more
RI,Cranston,city,82632,www.cranstonri.gov,1,1,13,0,0,5,2,2,0,yes,,10.79,3,7,0,yes,no,0,12,guess,0,0,no,,no,no,https://www.cityofcranston.org/|status=0|err=connection_error|reason=ConnectError; https://cityofcranston.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofcranston.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofcranston.gov/|status=0|err=connection_error|reason=ConnectError; https://www.cranstoncity.org/|status=0|err=connection_error|reason=ConnectError; https://cranstoncity.org/|status=0|err=connection_error|reason=ConnectError; https://www.cranstonri.gov/planning-and-zoning|status=404|err=http_error|reason=http_404
FL,Largo,city,82506,,0,0,0,0,0,0,0,0,8,no,no_official_site_found,88.31,0,10,0,no,no,4,16,,40,38,no,,no,no,https://www.cityoflargo.org/|status=0|err=connection_error|reason=ConnectError; https://cityoflargo.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityoflargo.gov/|status=0|err=connection_error|reason=ConnectError; https://cityoflargo.gov/|status=0|err=connection_error|reason=ConnectError; https://www.largocity.org/|status=0|err=connection_error|reason=ConnectError; https://largocity.org/|status=0|err=connection_error|reason=ConnectError; https://www.largofl.gov/|status=0|err=connection_error|reason=ConnectError; https://largofl.gov/|status=0|err=connection_error|reason=ConnectError; ...+6 more
GA,Johns Creek,city,82115,www.johnscreekga.gov,3,0,0,0,5,6,1,3,0,yes,,17.10,4,7,0,yes,no,0,12,guess,0,0,no,,no,no,https://www.cityofjohnscreek.org/|status=0|err=connection_error|reason=ConnectError; https://cityofjohnscreek.org/|status=0|err=connection_error|reason=ConnectError; https://www.cityofjohnscreek.gov/|status=0|err=connection_error|reason=ConnectError; https://cityofjohnscreek.gov/|status=0|err=connection_error|reason=ConnectError; https://www.johnscreekcity.org/|status=0|err=connection_error|reason=ConnectError; https://johnscreekcity.org/|status=0|err=connection_error|reason=ConnectError; https://www.johnscreekga.gov/planning-and-zoning|status=404|err=http_error|reason=http_404
